time_ms,packet_delay_ms,normalized_delta_phi,is_replay,detected_by_threshold
46000,3.713372,0.416914,0,0
46100,5.404007,0.415302,0,0
46200,7.803345,0.413522,0,0
46300,2.640612,0.411629,0,0
46400,8.890621,0.409649,0,0
46500,6.952791,0.407510,0,0
46600,7.420735,0.405270,0,0
46700,8.515440,0.402936,0,0
46800,6.480561,0.400446,0,0
46900,1.616493,0.397841,0,0
47000,3.951415,0.395126,0,0
47100,5.753087,0.392302,0,0
47200,5.892426,0.389355,0,0
47300,4.773427,0.386354,0,0
47400,7.311472,0.383208,0,0
47500,6.383862,0.379945,0,0
47600,7.065779,0.376520,0,0
47700,7.540299,0.373013,0,0
47800,7.215498,0.369459,0,0
47900,0.570660,0.365799,0,0
48000,6.617029,0.362016,0,0
48100,3.471601,0.358065,0,0
48200,8.644066,0.353983,0,0
48300,1.760254,0.349822,0,0
48400,5.978207,0.345554,0,0
48500,1.072863,0.341155,0,0
48600,6.081310,0.336655,0,0
48700,2.368221,0.332095,0,0
48800,8.115224,0.327439,0,0
48900,0.896405,0.322710,0,0
49000,0.566094,0.317830,0,0
49100,0.970993,0.312878,0,0
49200,8.380592,0.307831,0,0
49300,5.546323,0.302717,0,0
49400,1.971969,0.297480,0,0
49500,5.346036,0.292096,0,0
49600,2.917570,0.286665,0,0
49700,2.063713,0.281048,0,0
49800,7.983879,0.275348,0,0
49900,4.515603,0.269583,0,0
50000,7.224817,0.263732,0,0
50100,3.280206,0.257747,0,0
50200,6.890645,0.251688,0,0
50300,5.488015,0.245584,0,0
50400,2.118936,0.239392,0,0
50500,0.696613,0.233100,0,0
50600,6.903032,0.226724,0,0
50700,6.573770,0.220304,0,0
50800,0.592843,0.213823,0,0
50900,7.488246,0.207292,0,0
51000,6.581405,0.200703,0,0
51100,7.892363,0.193985,0,0
51200,0.749937,0.187189,0,0
51300,5.868683,0.180411,0,0
51400,2.302079,0.173395,0,0
51500,1.468475,0.166421,0,0
51600,4.301494,0.159400,0,0
51700,1.941339,0.152280,0,0
51800,4.979752,0.145128,0,0
51900,2.210744,0.137938,0,0
52000,3.953354,0.130735,0,0
52100,3.825221,0.123495,0,0
52200,7.294161,0.116280,0,0
52300,2.315362,0.108971,0,0
52400,6.342072,0.101640,0,0
52500,4.192569,0.094279,0,0
52600,1.131018,0.086879,0,0
52700,6.995655,0.079465,0,0
52800,3.144914,0.072083,0,0
52900,6.325945,0.064593,0,0
53000,1.502525,0.057077,0,0
53100,8.205637,0.049615,0,0
53200,2.298365,0.042031,0,0
